"hs2","description_ko","description_en","section"
"01","살아 있는 동물","Live animals","I"
"02","육과 식용 설육(屑肉)","Meat and edible meat offal","I"
"03","어류·갑각류·연체동물과 그 밖의 수생(水生) 무척추동물","Fish and crustaceans, molluscs and other aquatic invertebrates","I"
"04","낙농품, 새의 알, 천연꿀, 다른 류로 분류되지 않은 식용인 동물성 생산품","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","I"
"05","다른 류로 분류되지 않은 동물성 생산품","Products of animal origin, not elsewhere specified or included","I"
"06","살아 있는 수목과 그 밖의 식물, 인경(鱗莖)·뿌리와 이와 유사한 물품, 절화(切花)와 장식용 잎","Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage","II"
"07","식용의 채소·뿌리·괴경(塊莖)","Edible vegetables and certain roots and tubers","II"
"08","식용의 과실과 견과류, 감귤류·멜론의 껍질","Edible fruit and nuts; peel of citrus fruit or melons","II"
"09","커피·차·마테(maté)·향신료","Coffee, tea, maté and spices","II"
"10","곡물","Cereals","II"
"11","제분공업의 생산품과 맥아, 전분, 이눌린(inulin), 밀의 글루텐(gluten)","Products of the milling industry; malt; starches; inulin; wheat gluten","II"
"12","채유(採油)에 적합한 종자와 과실, 각종 종자와 과실, 공업용·의약용 식물, 짚과 사료용 식물","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder","II"
"13","락(lac), 검·수지·그 밖의 식물성 수액과 추출물(extract)","Lac; gums, resins and other vegetable saps and extracts","II"
"14","식물성 편조물(編組物)용 재료와 다른 류로 분류되지 않은 식물성 생산품","Vegetable plaiting materials; vegetable products not elsewhere specified or included","II"
"15","동물성·식물성·미생물성 지방과 기름 및 이들의 분해생산물, 조제한 식용 지방과 동물성·식물성 왁스","Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes","III"
"16","육류·어류·갑각류·연체동물이나 그 밖의 수생(水生) 무척추동물 또는 곤충의 조제품","Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or of insects","IV"
"17","당류(糖類)와 설탕과자","Sugars and sugar confectionery","IV"
"18","코코아와 그 조제품","Cocoa and cocoa preparations","IV"
"19","곡물·고운 가루·전분·밀크의 조제품과 베이커리 제품","Preparations of cereals, flour, starch or milk; pastrycooks' products","IV"
"20","채소·과실·견과류나 식물의 그 밖의 부분의 조제품","Preparations of vegetables, fruit, nuts or other parts of plants","IV"
"21","각종 조제 식료품","Miscellaneous edible preparations","IV"
"22","음료·주류·식초","Beverages, spirits and vinegar","IV"
"23","식품 공업에서 생기는 잔재물과 웨이스트(waste), 조제 사료","Residues and waste from the food industries; prepared animal fodder","IV"
"24","담배와 제조한 담배 대용물, 연소시키지 않고 흡입하도록 만들어진 물품(니코틴을 함유하였는지에 상관없다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것","Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body","IV"
"25","소금, 황, 토석류(土石類), 석고·석회·시멘트","Salt; sulphur; earths and stone; plastering materials, lime and cement","V"
"26","광(鑛)·슬래그(slag)·회(灰)","Ores, slag and ash","V"
