year,total_exp_dlr,total_imp_dlr
2007,371489086000,356845733000
2008,422007328000,435274737000
2009,363533561000,323084521000
2010,466383762000,425212160000
2011,555213656000,524413090000
2012,547869792000,519584473000
2013,559632434000,515585515000
2014,572664607000,525514506000
2015,526756503000,436498973000
2016,495425940000,406192887000
2017,573694421000,478478296000
2018,604859657000,535202428000
2019,542232610000,503342947000
2020,512498038000,467632763000
2021,644400368000,615093447000
2022,683584760000,731369657000
2023,632225824000,642572126000
2024,683609488000,631767209000
2025,709406808000,631750856000
